Sample,Time(S),CH1(V),CH2(V)
422,-0.001178,-0.0798874,2.89192
423,-0.001177,-0.0798874,2.84399
424,-0.001176,-0.0798874,2.79606
425,-0.001175,-0.0798874,2.7641
426,-0.001174,-0.0798874,2.73215
427,-0.001173,-0.0798874,2.66824
428,-0.001172,-0.0798874,2.65226
429,-0.001171,-0.0798874,2.60433
430,-0.00117,-0.0798874,2.5564
431,-0.001169,-0.0798874,2.50846
432,-0.001168,-0.0798874,2.47651
433,-0.001167,-0.0798874,2.44455
434,-0.001166,-0.0798874,2.38064
435,-0.001165,-0.0798874,2.33271
436,-0.001164,-0.0798874,2.30076
437,-0.001163,-0.0798874,2.23685
438,-0.001162,-0.0798874,2.22087
439,-0.001161,-0.0798874,2.18891
440,-0.00116,-0.0798874,2.125
441,-0.001159,-0.0798874,2.07707
442,-0.001158,-0.0798874,2.04512
443,-0.001157,-0.0798874,1.99718
444,-0.001156,-0.0798874,1.94925
445,-0.001155,-0.0798874,1.9173
446,-0.001154,-0.0798874,1.85339
447,-0.001153,-0.0798874,1.80545
448,-0.001152,-0.0798874,1.7735
449,-0.001151,-0.0479324,1.74154
450,-0.00115,-0.0639099,1.67763
451,-0.001149,-0.0639099,1.61372
452,-0.001148,-0.0639099,1.58177
453,-0.001147,-0.0639099,1.53384
454,-0.001146,-0.0639099,1.4859
455,-0.001145,-0.0798874,1.422
456,-0.001144,-0.0798874,1.39004
457,-0.001143,-0.0639099,1.32613
458,-0.001142,-0.0639099,1.31015
459,-0.001141,-0.0639099,1.23027
460,-0.00114,-0.0639099,1.21429
461,-0.001139,-0.0479324,1.1344
462,-0.001138,-0.0798874,1.08647
463,-0.001137,-0.0798874,1.05451
464,-0.001136,-0.0798874,1.00658
465,-0.001135,-0.0798874,0.958648
466,-0.001134,-0.0479324,0.910716
467,-0.001133,-0.0639099,0.862784
468,-0.001132,-0.0639099,0.814851
469,-0.001131,-0.0639099,0.766919
470,-0.00113,-0.0479324,0.718986
471,-0.001129,-0.0798874,0.671054
472,-0.001128,-0.0798874,0.607144
473,-0.001127,-0.0479324,0.559212
474,-0.001126,-0.0639099,0.527257
475,-0.001125,-0.0639099,0.479324
476,-0.001124,-0.0639099,0.431392
477,-0.001123,-0.0639099,0.367482
478,-0.001122,-0.0639099,0.319549
479,-0.001121,-0.0639099,0.271617
480,-0.00112,-0.0639099,0.207707
481,-0.001119,-0.0639099,0.175752
482,-0.001118,-0.0639099,0.143797
483,-0.001117,-0.0639099,0.0798874
484,-0.001116,-0.0479324,0.0319549
485,-0.001115,-0.0798874,-0.0319549
486,-0.001114,-0.0479324,-0.0639099
487,-0.001113,-0.0639099,-0.111842
488,-0.001112,-0.0639099,-0.175752
489,-0.001111,-0.0639099,-0.207707
490,-0.00111,-0.0479324,-0.25564
491,-0.001109,-0.0479324,-0.303572
492,-0.001108,-0.0639099,-0.351504
493,-0.001107,-0.0639099,-0.399437
494,-0.001106,-0.0639099,-0.447369
495,-0.001105,-0.0639099,-0.527257
496,-0.001104,-0.0639099,-0.559212
497,-0.001103,-0.0639099,-0.607144
498,-0.001102,-0.0639099,-0.655076
499,-0.001101,-0.0639099,-0.687031
500,-0.0011,-0.0319549,-0.750941
501,-0.001099,-0.0639099,-0.782896
502,-0.001098,-0.0639099,-0.830829
503,-0.001097,-0.0639099,-0.878761
504,-0.001096,-0.0639099,-0.958648
505,-0.001095,-0.0639099,-0.990603
506,-0.001094,-0.0639099,-1.05451
507,-0.001093,-0.0639099,-1.07049
508,-0.001092,-0.0639099,-1.11842
509,-0.001091,-0.0639099,-1.16636
510,-0.00109,-0.0639099,-1.24624
511,-0.001089,-0.0639099,-1.2782
512,-0.001088,-0.0639099,-1.31015
513,-0.001087,-0.0639099,-1.37406
514,-0.001086,-0.0639099,-1.39004
515,-0.001085,-0.0639099,-1.45395
516,-0.001084,-0.0639099,-1.50188
517,-0.001083,-0.0639099,-1.56579
518,-0.001082,-0.0639099,-1.59775
519,-0.001081,-0.0639099,-1.6297
520,-0.00108,-0.0639099,-1.70959
521,-0.001079,-0.0639099,-1.74154
522,-0.001078,-0.0639099,-1.78948
523,-0.001077,-0.0639099,-1.82143
524,-0.001076,-0.0639099,-1.86936
525,-0.001075,-0.0639099,-1.9173
526,-0.001074,-0.0639099,-1.98121
527,-0.001073,-0.0639099,-1.99718
528,-0.001072,-0.0639099,-2.06109
529,-0.001071,-0.0639099,-2.09305
530,-0.00107,-0.0639099,-2.14098
531,-0.001069,-0.0639099,-2.17294
532,-0.001068,-0.0639099,-2.23685
